question,answer,confidence_level,relevant_sources,reasoning_summary,metrics
tsmc和那些學校有計畫合作上的關係,"TSMC collaborates with several universities in Taiwan, including National Yang Ming Chiao Tung University, National Taiwan University, National Cheng Kung University, and National Tsing Hua University, among others. Internationally, TSMC partners with prestigious institutions like MIT, Harvard University, and Stanford University to advance semiconductor research and innovation.",high,['pdf_page_54'],"TSMC collaborates with numerous universities in Taiwan and internationally, including National Taiwan University, National Cheng Kung University, and prestigious institutions like MIT and Harvard, to advance semiconductor research and nurture talent.","{'avg_score': 0.1243, 'max_score': 0.6517, 'score_range': 0.6463, 'final_results': 10}"
tsmc的財務狀況如何,"TSMC's financial status in 2024 is robust, with increased assets and liabilities, strong net income contributing to retained earnings, and significant cash flow from operations. The company experienced higher net revenue and profit, driven by increased selling prices and wafer shipments, despite substantial investments and dividend payments.",high,"['pdf_page_63', 'pdf_page_64', 'pdf_page_65']","TSMC's financial status in 2024 is strong, characterized by increased assets, robust operating cash flow, and higher revenue and profit. The company effectively managed investments and liabilities, maintaining a positive financial outlook.","{'avg_score': 0.5103, 'max_score': 0.7145, 'score_range': 0.549, 'final_results': 10}"
說明一下tsmc的Workforce Structure,"At the end of 2024, TSMC's workforce structure consisted of 83,825 employees globally, including 8,737 managers, 40,477 professionals, 10,207 assistants, and 24,404 technicians. This structure highlights TSMC's diverse and inclusive employment practices.",high,['pdf_page_59'],"TSMC's workforce structure at the end of 2024 included 83,825 employees, categorized into managers, professionals, assistants, and technicians. This structure reflects TSMC's commitment to a diverse and inclusive workplace.","{'avg_score': 0.235, 'max_score': 0.6027, 'score_range': 0.5803, 'final_results': 10}"
描述TSMC 的成就,"In 2024, TSMC achieved significant technological advancements, including the development of 2nm, A16, and A14 technologies, which improve logic gate density and power efficiency. The company also made strides in lithography and mask technology, enhancing wafer yield and reducing defects. TSMC expanded its advanced packaging capabilities with technologies like CoWoS and InFO, supporting high-performance computing and AI applications. Additionally, TSMC's commitment to sustainability and substantial R&D investments, which accounted for 7.1% of its revenue, have reinforced its leadership in the semiconductor industry.",high,"['pdf_page_50', 'pdf_page_51', 'pdf_page_52', 'pdf_page_53', 'pdf_page_54', 'pdf_page_56']","TSMC's achievements in 2024 include advancements in 2nm, A16, and A14 technologies, improvements in lithography and mask processes, and expanded packaging capabilities. The company's commitment to R&D and sustainability has further solidified its leadership in the semiconductor industry.","{'avg_score': 0.4956, 'max_score': 0.666, 'score_range': 0.428, 'final_results': 10}"
影響2025全球AI伺服器出貨關鍵因素有哪些,"The key factors affecting global AI server shipments in 2025 include the demand from North American cloud providers, the technological preference for NVL72/36 type servers, and strategic business partnerships or large orders from significant players such as Dell.",high,"['pdf_page_11', 'pdf_page_8', 'pdf_page_7']","The key factors affecting global AI server shipments in 2025 are demand from North American cloud providers, technological preferences for server types like NVL72/36, and strategic business partnerships or orders, particularly involving major players like Dell.","{'avg_score': 0.3966, 'max_score': 0.7272, 'score_range': 0.5872, 'final_results': 10}"
說明一下tsmc的Business Activities,"TSMC's business activities include providing integrated semiconductor foundry services with advanced process and specialty technologies, mask technologies, and advanced silicon stacking and packaging. The company emphasizes customer success and innovation, developing technologies like A16 and 2nm, and focusing on sustainability through green manufacturing practices.",high,"['pdf_tsmc_2024_yearly_report_pdf_page_50', 'pdf_tsmc_2024_yearly_report_pdf_page_82']","TSMC's business activities encompass a wide range of semiconductor foundry services, including advanced process technologies, design ecosystem support, and green manufacturing. The company focuses on innovation, customer success, and sustainability, with significant developments in advanced logic and specialty technologies.","{'avg_score': 0.5786, 'max_score': 0.7961, 'score_range': 0.4715, 'final_results': 10}"
影響2025全球AI伺服器出貨因素有那些,"The factors affecting global AI server shipments in 2025 include NVIDIA's continued dominance in high-end AI server components, regional demand primarily driven by North American cloud service providers, market saturation leading to reduced growth rates, and shifts in server technology preferences, such as the increasing prevalence of NVL72/36 configurations.",high,"['pptx_無備忘錄版_digitimes_2025年全球AI伺服器出貨將達181萬台\u3000高階機種採購不再集中於四大CSP_pptx_page_11', 'pptx_無備忘錄版_digitimes_2025年全球AI伺服器出貨將達181萬台\u3000高階機種採購不再集中於四大CSP_pptx_page_8']","The factors affecting global AI server shipments in 2025 include NVIDIA's technological dominance, regional demand from North American cloud providers, market saturation, and shifts in server technology preferences, such as the rise of NVL72/36 configurations.","{'avg_score': 0.4081, 'max_score': 0.7226, 'score_range': 0.5826, 'final_results': 10}"
What is the total revenue of 2024 ?,"台積電在2024年的總收入為新台幣2,894,307,699,000元，顯示出相較於前一年顯著的增長。",high,['pdf_tsmc_2024_yearly_report_pdf_page_64'],"The total revenue for TSMC in 2024 is NT$2,894,307,699,000, as stated in the financial report, indicating strong growth compared to the previous year.","{'avg_score': 0.0856, 'max_score': 0.7, 'score_range': 0.7, 'final_results': 9}",False
What is the R&D spending in 2024 ? What is the portion of R&D versus revenue ?,2024年，台積電的研發支出為636.1億美元，約合19083億新台幣。這筆支出佔2024年總收入2894.3億新台幣的65.9%。這顯示出台積電在技術創新方面的高度投入，反映出其在市場競爭中的強大決心。,high,"['pdf_tsmc_2024_yearly_report_pdf_page_36', 'pdf_tsmc_2024_yearly_report_pdf_page_64']",2024年TSMC的研發支出為636.1億美元，約合19083億新台幣，佔總收入2894.3億新台幣的65.9%。這顯示出公司對研發的重視程度。,"{'avg_score': 0.0574, 'max_score': 0.56, 'score_range': 0.56, 'final_results': 10}",False
What is the 2024 EPS ?,2024年的每股盈餘(EPS)為45.25新台幣，顯示出台積電在該年度的良好盈利能力。,high,['pdf_tsmc_2024_yearly_report_pdf_page_64'],2024年的每股盈餘(EPS)為45.25新台幣，顯示了台積電的盈利能力及財務健康狀況。,"{'avg_score': 0.133, 'max_score': 0.7, 'score_range': 0.7, 'final_results': 10}",False
What are the R&D accomplishments in 2024 ?,"在2024年，台積電在研發方面取得了顯著成就，包括：
1. 2奈米技術的基線設置和產量提升，晶體管和互聯性能的改進。
2. A16技術的開發，增強了邏輯閘的密度和功率效率，支持高性能計算應用。
3. 新興記憶體技術的里程碑，包括RRAM的開發，這些技術提升了產品性能並擴展了應用範圍。
這些成就顯示了台積電在半導體技術領域的持續領先地位。",high,"['pdf_tsmc_2024_yearly_report_pdf_page_51', 'pdf_tsmc_2024_yearly_report_pdf_page_52', 'pdf_tsmc_2024_yearly_report_pdf_page_53', 'pdf_tsmc_2024_yearly_report_pdf_page_54', 'pdf_tsmc_2024_yearly_report_pdf_page_55']",2024年台積電在研發方面的成就包括2奈米技術的進展、A16技術的提升以及新興記憶體技術的發展，顯示出其在半導體技術領域的持續領先地位。,"{'avg_score': 0.2959, 'max_score': 0.6317, 'score_range': 0.6317, 'final_results': 10}",False
2025 年預計 AI server 出貨達幾台 ?,2025年預計AI伺服器的出貨量將達到181萬台，顯示出市場對於AI技術的強烈需求及未來的增長潛力。,high,"['pptx_無備忘錄版_digitimes_2025年全球AI伺服器出貨將達181萬台\u3000高階機種採購不再集中於四大CSP_pptx_page_11', 'pptx_無備忘錄版_digitimes_2025年全球AI伺服器出貨將達181萬台\u3000高階機種採購不再集中於四大CSP_pptx_page_4']",根據資料，2025年預計AI伺服器的出貨量將達到181萬台，顯示出市場需求的增長。,"{'avg_score': 0.3896, 'max_score': 0.7724, 'score_range': 0.6814, 'final_results': 10}",False
AI server 企業型用戶大概可以分成幾種 ? 這幾種各自佔整體客戶比例為何 ?,AI伺服器的企業型用戶大致可以分為幾種主要類型，包括大型雲端服務提供商（CSP）、中小型企業及其他行業用戶。根據市場預測，這些用戶的佔比會隨著市場需求的變化而變動，具體的比例數據需要進一步的市場報告來確認。,medium,"['pptx_無備忘錄版_digitimes_2025年全球AI伺服器出貨將達181萬台\u3000高階機種採購不再集中於四大CSP_pptx_page_8', 'pptx_無備忘錄版_digitimes_2025年全球AI伺服器出貨將達181萬台\u3000高階機種採購不再集中於四大CSP_pptx_page_9']",AI伺服器企業型用戶可分為多種類型，並且各類型的市場佔比在不同報告中有所提及，需綜合分析以獲得具體數據。,"{'avg_score': 0.2382, 'max_score': 0.63, 'score_range': 0.63, 'final_results': 10}",False
在全球前十大 AI 高階伺服器客戶中，哪一間客戶的 2025 成長率是最高的，為什麼？,在全球前十大AI高階伺服器客戶中，戴爾（Dell）預計在2025年的成長率是最高的。根據資料，戴爾在OEM業者中表現最佳，這意味著其在市場中獲得了大量訂單，顯示出強勁的市場需求和競爭力。此外，甲骨文（Oracle）也因受惠於Stargate計畫而顯著成長，但戴爾的市場表現更為突出，因此可以推斷戴爾的成長率將會是最高的。,high,"['pptx_無備忘錄版_digitimes_2025年全球AI伺服器出貨將達181萬台\u3000高階機種採購不再集中於四大CSP_pptx_page_7', 'pptx_無備忘錄版_digitimes_2025年全球AI伺服器出貨將達181萬台\u3000高階機種採購不再集中於四大CSP_pptx_page_11', 'pptx_無備忘錄版_digitimes_2025年全球AI伺服器出貨將達181萬台\u3000高階機種採購不再集中於四大CSP_pptx_page_10']",分析顯示，戴爾在2025年高階AI伺服器市場中表現最佳，可能是成長率最高的客戶，因為其獲得了大量訂單，顯示出強勁的市場需求和競爭力。,"{'avg_score': 0.2818, 'max_score': 0.7122, 'score_range': 0.6488, 'final_results': 10}",False
How did TSMC’s annual revenue and net income evolve over the last 3–5 years?,"在過去五年中，台積電的年度收入和淨利顯示出顯著的增長。根據2024年的財報，台積電的年度收入達到2,894,307,699千元新台幣，較2023年的2,161,735,841千元新台幣增長了34%。同時，2024年的淨利為1,172,431,759千元新台幣，較2023年的838,497,664千元新台幣增長了40%。這一增長主要受到先進製程技術需求上升和市場對高效能運算及人工智慧應用需求增加的推動。",high,"['pdf_tsmc_2024_yearly_report_pdf_page_64', 'pdf_tsmc_2024_yearly_report_pdf_page_62']","台積電在2020至2024年間的年度收入和淨利顯示出顯著增長，2024年收入達2,894,307,699千元新台幣，淨利為1,172,431,759千元新台幣，增幅分別為34%和40%。","{'avg_score': 0.2283, 'max_score': 0.7972, 'score_range': 0.7121, 'final_results': 10}",False
"From 2020-2024, What’s the trend in gross margin—are there signs of pressure or expansion, especially when new nodes are introduced?","從2020年至2024年，台積電的毛利率顯示出持續擴張的趨勢。2024年的毛利達到1,624,353,564千元新台幣，較2023年增長了38%。這一增長主要歸因於產能利用率的提高及外匯變化的有利影響。儘管在新製程推出過程中可能面臨成本上升的挑戰，整體毛利率的擴張仍顯示出台積電在高端市場的強勁競爭力和有效的成本控制策略。",high,"['pdf_tsmc_2024_yearly_report_pdf_page_64', 'excel_excel_FS-Consolidated_1Q25_xls_page_2']",分析顯示2020至2024年間，台積電的毛利率持續擴張，主要受益於產能利用率提高和外匯變化的正面影響，顯示出公司在新製程推出時的競爭力增強。,"{'avg_score': 0.203, 'max_score': 0.63, 'score_range': 0.56, 'final_results': 10}",False
以下是新的RAG回答,在2024年，台積電的風險管理框架採用三道防線的結構，這確保了風險管理的有效性和整合性。該框架包括風險管理執行委員會和風險管理政策，旨在識別和評估潛在的風險，並制定相應的應對策略。具體措施包括風險評估、應對計畫的制定和持續改進，這些措施不僅提高了公司的運營韌性，還促進了業務的穩定發展。此外，台積電在2024年強調了綠色製造和供應鏈管理，這些都顯示了公司對可持續發展的承諾。,high,"['pdf_tsmc_2024_yearly_report_pdf_page_67', 'pdf_tsmc_2024_yearly_report_pdf_page_68', 'pdf_tsmc_2024_yearly_report_pdf_page_76']",台積電在2024年的風險管理框架以三道防線為基礎，強調風險識別、評估和應對策略，並持續改進以確保業務運營的穩定性。,"{'avg_score': 0.364, 'max_score': 0.63, 'score_range': 0.56, 'final_results': 10}",False
